sasdate,RW,AR1,ARp,OLS,Ridge,Lasso,PCR1,PCR6
2003-09-01,4.363703983410816,4.364058818545039,4.362405646109793,4.364344954477368,4.363991060829149,4.363997097321133,4.36396886939792,4.36375153929547
2003-10-01,4.358095336093965,4.362132243117649,4.361762012007033,4.358833003666258,4.360215329459513,4.360542471934756,4.361100187690865,4.361412265797839
2003-11-01,4.364629489495622,4.363107344148617,4.363945073815749,4.36440443141983,4.364419631721399,4.364233263950785,4.363499513832348,4.36398549046412
2003-12-01,4.367577586901013,4.366321590880353,4.366713474596319,4.366000880537723,4.366499129704741,4.366570200179109,4.366648169181363,4.366714279486803
2004-01-01,4.373812013502921,4.371597330067344,4.371278274408988,4.372139701146811,4.372111184401243,4.371924493483306,4.372164969500529,4.372046347429903
2004-02-01,4.370809273588878,4.37315329286542,4.3726013753161785,4.3715237363928425,4.372153038751866,4.37216424114384,4.372554977265591,4.372453987942458
2004-03-01,4.372915953863902,4.373711692969691,4.373552870166478,4.373837258330889,4.373652811063687,4.373658466016277,4.373512322666533,4.373850063859077
2004-04-01,4.375982684885033,4.375571115434626,4.375795610557791,4.376072164030951,4.375598872925911,4.376093856219503,4.375678605603932,4.375870149012535
2004-05-01,4.3817021622903365,4.379842478357363,4.37981215320192,4.3809584580713175,4.380344070348279,4.379953855955396,4.380323509624684,4.380320329737074
2004-06-01,4.382356912684504,4.382904968397696,4.382701112195152,4.384135601831403,4.382715902237184,4.383063232038733,4.382772943411595,4.382373113652919
2004-07-01,4.379837284920676,4.382427154092243,4.382544941197564,4.380215820181171,4.3811067728762705,4.381157667460981,4.381764611232608,4.3819305027098245
2004-08-01,4.381447024358033,4.382008358483108,4.382751477764303,4.382562240940152,4.38240125747616,4.38242474176366,4.381872841989927,4.382222431919007
2004-09-01,4.386761282683869,4.384807043070646,4.38530443920741,4.385587560347876,4.385345953484588,4.385506639680816,4.3853071620568915,4.385352170294695
2004-10-01,4.39420836247008,4.391124157562466,4.3906869383565645,4.392008195843102,4.391694042894539,4.391637359353803,4.391909648555529,4.391937410171137
2004-11-01,4.394860001208358,4.39546291904317,4.394316617390355,4.395602924454766,4.395238711071898,4.395377855922921,4.39531850958157,4.3949258250018675
2004-12-01,4.389198781522076,4.3936444046368806,4.39334290181519,4.389813964772481,4.391768772513579,4.39150598973413,4.392523857660791,4.392823504579674
2005-01-01,4.395388482312665,4.394353385730161,4.395054582881057,4.3961873898090165,4.395805787515155,4.3954786787807425,4.394624700822892,4.395440984873327
2005-02-01,4.40032038884884,4.398369509692298,4.398681409650591,4.399576641494466,4.398624537591745,4.398884094234985,4.398862691161304,4.398820811880135
2005-03-01,4.402269674190895,4.401995825623442,4.4019875034942375,4.400200107650988,4.401197457233569,4.401838839692432,4.402075146804758,4.401751293486021
2005-04-01,4.404467888969455,4.404737008807,4.404470184215345,4.405552399973171,4.405014009282832,4.404776173128397,4.4046707990326475,4.404620071813614
2005-05-01,4.400751639212483,4.403745912798292,4.40370071226451,4.402229520322055,4.402682052233334,4.402619317709481,4.403000013700482,4.403154868348476
2005-06-01,4.403736448902182,4.403661009599278,4.404539530496057,4.402819093640267,4.403664871295173,4.403887139835114,4.403681658932901,4.40421067873682
2005-07-01,4.415111398289486,4.410312761368493,4.4103691872059585,4.412820427125352,4.412352402666837,4.412210904883347,4.411524138071039,4.411547580288472
2005-08-01,4.415129286413532,4.415410162854042,4.414306816258061,4.414554583983382,4.414760975869885,4.41449939858598,4.415345123742351,4.414829389448026
2005-09-01,4.436100744038245,4.428681531019733,4.426417344056367,4.431683480907904,4.4305921842065255,4.430700835386028,4.4305408946693445,4.43065323998706
2005-10-01,4.416082159972912,4.426937256505451,4.4248634562361895,4.419821090663173,4.422459258524259,4.422346681014306,4.4240893562694295,4.423176978869535
2005-11-01,4.4146283984263395,4.419518037234356,4.4216218991459435,4.417490433034491,4.418972048294496,4.41882564985948,4.418348065678355,4.419549413757885
2005-12-01,4.42250942672055,4.419737971446628,4.422817866487382,4.421441146553233,4.421096392094681,4.421118474432323,4.420446357080634,4.421388567659228
2006-01-01,4.434931686114014,4.4285580840329875,4.429511308117526,4.433475339864888,4.431043612040012,4.430783723632219,4.430113771976103,4.42969220121449
2006-02-01,4.4222022030748285,4.427836874769055,4.428221376654921,4.42299976559033,4.425234889862219,4.42562412022691,4.426474482663853,4.42611892266096
2006-03-01,4.43106210614972,4.429294074937213,4.429164826778675,4.4304027025849875,4.4300400947508,4.429961739396721,4.4297328960487965,4.430416783099196
2006-04-01,4.439756788917611,4.436194857974588,4.434690079704202,4.438288627968388,4.437333309415337,4.437172996590268,4.437085332292151,4.436824846689108
2006-05-01,4.435829645689858,4.43843121258186,4.437247472552852,4.437402325644462,4.437810458052506,4.437624363431502,4.437802332168826,4.437432296908013
2006-06-01,4.439807020557615,4.440109028188362,4.440493703493405,4.439710788440821,4.439909919377844,4.439839021098126,4.440029568256786,4.4403281065441815
2006-07-01,4.445338510105037,4.444091948565633,4.443708374894596,4.444407080166309,4.444280965751078,4.444329106979449,4.444407796736579,4.444457287339512
2006-08-01,4.446988860876804,4.447358807918603,4.4470869291374395,4.447645029983672,4.447182763073423,4.447521332713832,4.447257034115443,4.4470105288005275
2006-09-01,4.433096717146887,4.440737556813289,4.442400934405951,4.437682224374029,4.438492854494468,4.438514263466184,4.43887576219298,4.4390772507257985
2006-10-01,4.437043035327504,4.436692119767519,4.439562322413035,4.436647956184183,4.437391256427183,4.43703077233636,4.4367711430891,4.437780895616541
2006-11-01,4.442526530445388,4.4389650246348875,4.440511643567595,4.441551386731442,4.440545744484213,4.440496234499655,4.4398144535573785,4.439795814583077
2006-12-01,4.449780403161109,4.445580392361386,4.445066681415355,4.448008938065648,4.446799791227667,4.44656713223563,4.4465769876279175,4.446136830638467
2007-01-01,4.449481339777406,4.449771500899028,4.4480559657897105,4.449145568972729,4.449327134371617,4.4494995868334,4.449718530360081,4.449592750377913
2007-02-01,4.452328226981816,4.452645793106974,4.450540142704089,4.451377032926214,4.452161310165808,4.4516673055014895,4.452558572828167,4.452865490073998
2007-03-01,4.457312160482383,4.456603172682341,4.4551745182737985,4.458842465406541,4.457410004092292,4.457635959449153,4.456774260422037,4.456519307123836
2007-04-01,4.456505057630764,4.458225002106801,4.457770403874326,4.456989542238,4.45742699394944,4.45753413948324,4.457820676862255,4.457858030231149
2007-05-01,4.4618106739388335,4.461098165407378,4.461537258764258,4.462001720915849,4.461993382699147,4.46160680987262,4.461262351320961,4.461552877033707
2007-06-01,4.461810134731493,4.462847393052668,4.46318851585851,4.461588923743198,4.462125494071724,4.462327035975187,4.46259694984788,4.462574188538499
2007-07-01,4.462931603868149,4.463718124851895,4.464323634710426,4.463644956193112,4.463286449958402,4.463592905741829,4.463527111595906,4.463609708771414
2007-08-01,4.462517040975736,4.463631044108102,4.464572999516506,4.464380632743995,4.463734452034028,4.4636499483236145,4.463351873098348,4.463358563926865
2007-09-01,4.473538892148685,4.469392721399396,4.469455689580473,4.47158559468987,4.470484351785931,4.470280260582491,4.470365976777973,4.470732136993226
2007-10-01,4.471764312226051,4.472848114543674,4.47209573197408,4.472744094579553,4.472268915358582,4.472399939301334,4.472581814674961,4.472149883629805
2007-11-01,4.482395080112854,4.4794381725928165,4.4783727901112655,4.481137255612877,4.480353019124191,4.480095562889655,4.480130347355791,4.480272641809513
2007-12-01,4.476478325318799,4.480413333922759,4.479531152131526,4.4785691856103815,4.478801224071332,4.479173648190247,4.479463483798715,4.479083504780985
2008-01-01,4.4824026479570716,4.482135882407128,4.482275094507376,4.481717108057284,4.48178039874799,4.482049691658499,4.482184096701868,4.482695514095711
2008-02-01,4.483131275390693,4.483833510194587,4.484617859907007,4.484223792047316,4.4836012081786185,4.483790468250931,4.483648580490299,4.483523384640988
2008-03-01,4.488249132267711,4.48712033893851,4.487535192354699,4.48799403192638,4.4873387180051925,4.487607807694182,4.487368609125161,4.48739321006034
2008-04-01,4.48720950381577,4.488548259788458,4.489128815671411,4.4877935046607265,4.4878989792074995,4.488283391006443,4.48820083555631,4.488027878784584
2008-05-01,4.497372448113312,4.494178704761898,4.493874426713758,4.496508028465817,4.495052441910502,4.495087723278997,4.494927725949768,4.494976303421797
2008-06-01,4.5080640736910205,4.504212024560706,4.5025478124074105,4.504776944338948,4.504335584877024,4.50454225530464,4.505119643598876,4.504595965777023
2008-07-01,4.504577346063367,4.507996350128381,4.50618958022909,4.505361478747948,4.506383809102968,4.506477393805414,4.50716665403684,4.506616847979683
2008-08-01,4.495445737293989,4.5025797737775095,4.503476327539594,4.498018226861563,4.500197697704421,4.500785501803695,4.50085687299329,4.5008185395192255
2008-09-01,4.505022422838709,4.502882328733532,4.505067929448866,4.5048680582287295,4.503812276887387,4.503805472714238,4.503334426116292,4.503912133702214
2008-10-01,4.481825409762105,4.491611513187867,4.494917880281714,4.485973415676928,4.488397894245826,4.489317021954331,4.489030966474275,4.48814862729889
2008-11-01,4.466924098691334,4.473650365854152,4.479445846884501,4.46984524879048,4.471237052943102,4.472540900826062,4.471967283095194,4.4719090814997715
2008-12-01,4.479123236747652,4.470975682336924,4.475464754343136,4.476819930853276,4.474483079078601,4.4736525170046,4.472680464056019,4.4730612074965315
2009-01-01,4.484400336216444,4.47710975264339,4.47659702731657,4.482886765953575,4.479186184922948,4.479171923115869,4.478676054944296,4.478055504478229
2009-02-01,4.483824872637698,4.481705625964053,4.479579139598383,4.4842054980373325,4.482466020319525,4.483232833325293,4.4821901388580345,4.481052273043155
2009-03-01,4.475257009293231,4.4789288163941,4.475997280226603,4.475765051610881,4.477009977685525,4.477630604800759,4.47813586108965,4.47782609781216
2009-04-01,4.484640680710105,4.4814332736756155,4.478766777100623,4.483992458548706,4.483273498738405,4.4832839206839905,4.482159073982888,4.4821850096896165
2009-05-01,4.482376288635562,4.482874085064932,4.481237090107738,4.4819622150951375,4.4827696867382585,4.48180036840021,4.482797991245903,4.482780984570404
2009-06-01,4.498455637790557,4.49226275145574,4.49105463500604,4.496455659062028,4.494805194349532,4.494197974830175,4.493672054928653,4.493784991479434
2009-07-01,4.482049763440624,4.489503092917258,4.488566047310559,4.486633072671553,4.486758115579511,4.486991346248337,4.487895210034748,4.487425677641302
2009-08-01,4.496340731317363,4.492772131674431,4.492663023130002,4.494979266402079,4.4938865392317,4.493176792305509,4.493577705415237,4.494681318349694
2009-09-01,4.492594928570606,4.494253070063868,4.494290737143167,4.495564303885182,4.494560734147987,4.493962863440386,4.493902316288949,4.493709603699225
2009-10-01,4.502021696328799,4.499235581680861,4.4987771789468125,4.500547859712413,4.4997295674887985,4.499412544448057,4.499878207684467,4.500313479905638
2009-11-01,4.499750712841807,4.501424542234067,4.5016949632116505,4.501120575603662,4.501361381811022,4.500611894790713,4.501078447715318,4.500974060764563
2009-12-01,4.497787293330773,4.500257740612223,4.500167532684409,4.499027640140544,4.499362377467771,4.499832748639096,4.49972280104926,4.499549686241289
2010-01-01,4.505117242160456,4.503054231913485,4.503782553569104,4.505441713808692,4.5036819892164575,4.503509490122153,4.503532348059172,4.50366616111089
2010-02-01,4.499058711566069,4.501909909565829,4.502182878264262,4.500253009378597,4.500917829552701,4.500948318139151,4.501282908680261,4.500902238602532
2010-03-01,4.505543388868229,4.503706742454429,4.504497564942663,4.503645786652313,4.503815180084831,4.5044346019672625,4.504136573539555,4.504198854625472
2010-04-01,4.5029214912206434,4.504042241953819,4.504350290871319,4.5039195407742465,4.503479173292094,4.503603218545679,4.503797720867297,4.50342180181792
2010-05-01,4.503665612349612,4.503955977365998,4.504072117490595,4.503718130249259,4.50360030137728,4.503983531467191,4.503896637520353,4.503666728154461
2010-06-01,4.501982106316834,4.502941351386857,4.503548574796186,4.502584099306558,4.502257284429401,4.502508380531932,4.502730019084819,4.5024318444179965
2010-07-01,4.506125707841189,4.504489938326103,4.5045851439641105,4.506623752838909,4.505142710506874,4.5054468991495575,4.504875262598649,4.504527202131676
2010-08-01,4.5072599414149845,4.506598158661902,4.506435343458836,4.507151162776658,4.506439254733236,4.506519784686068,4.5067583718383055,4.5062711764633185
